Sum of runs_scored,Column Labels,,,,,,
Row Labels,1,2,Grand Total,,,,
1082643,148,154,302,,,,1Won
1082644,156,156,312,,,,2Won
1082645,70,77,147,,,,1Won
1082646,152,144,296,,,,2Won
1082647,155,133,288,,,,1Won
1082648,121,44,165,,,,1Won
1082649,100,103,203,,,,1Won
1082650,121,119,240,,,,2Won
1136561,161,162,323,,,,2Won
1136562,160,166,326,,,,2Won
1136563,170,164,334,,,,2Won
1136564,117,119,236,,,,1Won
1136565,197,198,395,,,,2Won
1136566,150,57,207,,,,1Won
1136567,139,147,286,,,,1Won
1136568,149,155,304,,,,2Won
1136569,184,193,377,,,,2Won
1136570,131,134,265,,,,1Won
1136571,203,192,395,,,,2Won
1136572,196,180,376,,,,1Won
1136573,194,121,315,,,,1Won
1136574,196,160,356,,,,1Won
1136575,155,160,315,,,,1Won
1136576,185,165,350,,,,2Won
1136577,198,132,330,,,,1Won
1136578,182,124,306,,,,1Won
1136579,162,172,334,,,,1Won
1136580,178,176,354,,,,2Won
1136581,162,162,324,,,,1Won
1136582,129,130,259,,,,1Won
1136583,106,85,191,,,,1Won
1136584,197,196,393,,,,2Won
1136585,124,117,241,,,,1Won
1136586,215,160,375,,,,2Won
1136587,162,160,322,,,,1Won
1136588,150,139,289,,,,1Won
1136589,165,168,333,,,,2Won
1136590,204,190,394,,,,2Won
1136591,161,130,291,,,,1Won
1136592,189,142,331,,,,1Won
1136593,170,168,338,,,,1Won
1136594,164,170,334,,,,2Won
1136595,123,121,244,,,,1Won
1136596,160,158,318,,,,2Won
1136597,175,159,334,,,,1Won
1136598,144,152,296,,,,1Won
1136599,137,136,273,,,,1Won
1136600,155,136,291,,,,1Won
1136601,203,107,310,,,,1Won
1136602,184,189,373,,,,1Won
1136603,164,174,338,,,,1Won
1136604,240,207,447,,,,2Won
1136605,174,176,350,,,,1Won
1136606,166,179,345,,,,2Won
1136607,159,161,320,,,,1Won
1136608,83,88,171,,,,1Won
1136609,140,143,283,,,,2Won
1136610,175,174,349,,,,2Won
1136611,214,199,413,,,,2Won
1136612,153,126,279,,,,1Won
1136613,159,131,290,,,,1Won
1136614,161,166,327,,,,2Won
1136615,162,156,318,,,,1Won
1136616,142,150,292,,,,1Won
1136617,130,135,265,,,,1Won
1136618,159,143,302,,,,2Won
1136619,169,157,326,,,,1Won
1136620,170,175,345,,,,2Won
1175356,66,66,132,,,,1Won
1175357,173,179,352,,,,2Won
1175358,207,167,374,,,,1Won
1175359,168,165,333,,,,1Won
1175360,140,142,282,,,,1Won
1175361,213,184,397,,,,2Won
1175362,177,176,353,,,,1Won
1175363,193,195,388,,,,2Won
1175364,169,169,338,,,,1Won
1175365,177,181,358,,,,2Won
1175366,229,105,334,,,,1Won
1175367,168,160,328,,,,1Won
1175368,157,141,298,,,,1Won
1175369,153,154,307,,,,1Won
1175370,164,119,283,,,,1Won
1175371,124,120,244,,,,1Won
1175372,200,193,393,,,,2Won
1178393,155,134,289,,,,1Won
1178394,130,90,220,,,,1Won
1178395,144,140,284,,,,2Won
1178396,128,129,257,,,,1Won
1178397,142,150,292,,,,2Won
1178398,104,103,207,,,,1Won
1178399,190,186,376,,,,2Won
1178400,144,146,290,,,,1Won
1178401,173,177,350,,,,2Won
1178402,183,184,367,,,,2Won
1178403,166,173,339,,,,1Won
1178404,152,160,312,,,,1Won
1178405,146,111,257,,,,1Won
1178406,163,166,329,,,,2Won
1178407,170,160,330,,,,1Won
1178408,125,134,259,,,,1Won
1178409,162,120,282,,,,1Won
1178410,207,187,394,,,,2Won
1178411,152,156,308,,,,1Won
1178412,158,155,313,,,,2Won
1178413,154,155,309,,,,1Won
1178414,157,148,305,,,,1Won
1178415,186,192,378,,,,2Won
1178416,171,167,338,,,,1Won
1178417,191,181,372,,,,2Won
1178418,165,172,337,,,,1Won
1178419,151,102,253,,,,1Won
1178420,151,156,307,,,,2Won
1178421,182,166,348,,,,2Won
1178422,225,192,417,,,,2Won
1178423,192,160,352,,,,1Won
1178424,59,39,98,,,,1Won
1178425,172,99,271,,,,2Won
1178426,154,159,313,,,,1Won
1178427,180,178,358,,,,2Won
1178428,106,116,222,,,,1Won
1178429,171,169,340,,,,2Won
1178430,168,159,327,,,,1Won
1178431,123,131,254,,,,1Won
1181764,126,124,250,,,,2Won
1181766,152,159,311,,,,2Won
1181767,139,140,279,,,,1Won
1181768,146,139,285,,,,2Won
1216492,157,162,319,,,,2Won
1216493,148,149,297,,,,1Won
1216494,81,80,161,,,,1Won
1216495,148,143,291,,,,2Won
1216496,207,195,402,,,,2Won
1216497,187,129,316,,,,1Won
1216498,119,110,229,,,,1Won
1216499,161,158,319,,,,2Won
1216500,170,128,298,,,,1Won
1216501,157,153,310,,,,1Won
1216502,109,115,224,,,,1Won
1216503,185,136,321,,,,2Won
1216504,163,130,293,,,,1Won
1216505,148,148,296,,,,1Won
1216506,151,140,291,,,,1Won
1216507,155,157,312,,,,2Won
1216508,181,141,322,,,,1Won
1216509,175,181,356,,,,2Won
1216510,195,100,295,,,,1Won
1216511,179,134,313,,,,1Won
1216512,160,153,313,,,,1Won
1216513,174,170,344,,,,2Won
1216514,151,155,306,,,,1Won
1216515,226,197,423,,,,2Won
1216516,156,146,302,,,,1Won
1216517,169,172,341,,,,2Won
1216518,151,149,300,,,,1Won
1216519,186,126,312,,,,1Won
1216520,143,147,290,,,,1Won
1216521,102,114,216,,,,1Won
1216522,167,166,333,,,,2Won
1216523,155,160,315,,,,1Won
1216524,208,122,330,,,,1Won
1216525,157,127,284,,,,1Won
1216526,141,144,285,,,,1Won
1216527,213,218,431,,,,2Won
1216528,162,141,303,,,,1Won
1216529,157,162,319,,,,2Won
1216530,184,126,310,,,,1Won
1216531,159,165,324,,,,1Won
1216532,155,136,291,,,,1Won
1216533,120,119,239,,,,1Won
1216534,158,138,296,,,,2Won
1216535,105,110,215,,,,1Won
1216536,170,169,339,,,,2Won
1216537,174,181,355,,,,2Won
1216538,204,159,363,,,,1Won
1216539,167,126,293,,,,1Won
1216540,185,106,291,,,,1Won
1216541,186,185,371,,,,2Won
1216542,190,128,318,,,,1Won
1216543,151,143,294,,,,1Won
1216544,136,148,284,,,,1Won
1216545,135,138,273,,,,2Won
1216546,160,159,319,,,,2Won
1216547,191,196,387,,,,2Won
1237177,196,137,333,,,,1Won
1237178,127,122,249,,,,1Won
1237180,181,166,347,,,,2Won
1237181,152,153,305,,,,1Won
1254058,155,148,303,,,,1Won
1254059,178,186,364,,,,2Won
1254060,180,170,350,,,,1Won
1254061,215,208,423,,,,2Won
1254062,145,130,275,,,,1Won
1254063,139,131,270,,,,1Won
1254064,142,147,289,,,,2Won
1254065,102,100,202,,,,1Won
1254066,139,132,271,,,,2Won
1254067,196,162,358,,,,2Won
1254068,187,187,374,,,,1Won
1254069,174,130,304,,,,1Won
1254070,132,128,260,,,,1Won
1254071,109,116,225,,,,1Won
1254072,207,188,395,,,,2Won
1254073,164,173,337,,,,1Won
1254074,125,128,253,,,,1Won
1254075,124,120,244,,,,1Won
1254076,185,114,299,,,,1Won
1254077,155,150,305,,,,1Won
1254078,118,119,237,,,,1Won
1254079,169,164,333,,,,2Won
1254080,163,170,333,,,,2Won
1254081,165,155,320,,,,1Won
1254082,147,150,297,,,,1Won
1254083,174,134,308,,,,1Won
1254084,208,211,419,,,,2Won
1254085,206,157,363,,,,1Won
1254086,161,162,323,,,,1Won
1254087,86,89,175,,,,1Won
1254088,224,183,407,,,,2Won
